event_id,timestamp,device,event_type,alert_name,attack_category,severity,source_ip,destination_asset,host,uri,method,action,disposition_action,challenge_result,status,status_code,handling_status,closed_loop_status,warning_issued,warning_status,warning_recipient,warning_issued_at,hit_count,rule_id,request_id,analyst_requested,evidence_level,raw_request,raw_response
SRHINO-20260828-00011,2026-08-28T10:54:28+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.11,oa-prod-01,oa-prod-01.example.test,/user/profile,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,OA系统责任单位,2026-08-28T10:54:28+08:00,1,XSS-941100,req-3af85739398b,False,metadata,,
SRHINO-20260828-00012,2026-08-28T01:02:28+08:00,Srhino安全运营平台演示设备,security_alert,SQL注入攻击,sqli,high,192.0.2.50,api-prod-02,api-prod-02.example.test,/api/auth/login,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T01:02:28+08:00,1,SQLI-942100,req-dc8fafb38429,False,metadata,,
SRHINO-20260828-00013,2026-08-28T00:18:32+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,web-prod-01,web-prod-01.example.test,/wp-admin,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T00:18:32+08:00,1,SCANNER-980130,req-0ab39791aaaa,False,metadata,,
SRHINO-20260828-00014,2026-08-28T10:00:04+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,192.0.2.50,api-prod-01,api-prod-01.example.test,/search,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T10:00:04+08:00,1,XSS-941100,req-5ccaec22e7b4,False,metadata,,
SRHINO-20260828-00015,2026-08-28T12:36:24+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,web-prod-02,web-prod-02.example.test,/user/profile,POST,challenge,人机校验,未通过,challenged,403,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-d3a0aa69a70f,False,metadata,,
SRHINO-20260828-00016,2026-08-28T23:10:42+08:00,Srhino安全运营平台演示设备,security_alert,路径穿越攻击,path-traversal,high,203.0.113.11,web-prod-02,web-prod-02.example.test,/download,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T23:10:42+08:00,1,LFI-930110,req-42a96d1e20e4,False,metadata,,
SRHINO-20260828-00017,2026-08-28T09:05:55+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.11,oa-prod-01,oa-prod-01.example.test,/user/profile,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,OA系统责任单位,2026-08-28T09:05:55+08:00,1,XSS-941100,req-fa2fd63c98d3,False,metadata,,
SRHINO-20260828-00018,2026-08-28T12:00:15+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,api-prod-02,api-prod-02.example.test,/.env,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T12:00:15+08:00,1,SCANNER-980130,req-1ac98f0e374e,False,metadata,,
SRHINO-20260828-00019,2026-08-28T11:26:13+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,web-prod-01,web-prod-01.example.test,/.env,POST,allow,放行观察,不适用,allowed,200,已完成观察,已闭环,False,未下发,,,1,SCANNER-980130,req-835da58390b6,False,metadata,,
SRHINO-20260828-00020,2026-08-28T22:10:38+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,192.0.2.51,oa-prod-01,oa-prod-01.example.test,/wp-admin,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,OA系统责任单位,2026-08-28T22:10:38+08:00,1,SCANNER-980130,req-6b57d20f38b8,False,metadata,,
SRHINO-20260828-00021,2026-08-28T12:11:45+08:00,Srhino安全运营平台演示设备,security_alert,暴力破解登录,brute-force,high,198.51.100.20,web-prod-02,web-prod-02.example.test,/admin/login,GET,allow,放行观察,不适用,allowed,200,已下发风险预警,已闭环,True,已下发,Web应用责任单位,2026-08-28T12:11:45+08:00,1,BRUTE-913100,req-b15e2605bdeb,False,metadata,,
SRHINO-20260828-00022,2026-08-28T11:36:03+08:00,Srhino安全运营平台演示设备,security_alert,敏感数据暴露检测,data-exposure,high,192.0.2.50,web-prod-01,web-prod-01.example.test,/api/user/export,GET,allow,放行观察,不适用,allowed,200,已下发风险预警,已闭环,True,已下发,Web应用责任单位,2026-08-28T11:36:03+08:00,1,API-EXPOSE-001,req-f0f7ce12b48c,False,metadata,,
SRHINO-20260828-00023,2026-08-28T12:52:48+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.11,api-prod-01,api-prod-01.example.test,/actuator/env,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T12:52:48+08:00,1,SCANNER-980130,req-a5c061974305,False,metadata,,
SRHINO-20260828-00024,2026-08-28T23:49:53+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,web-prod-01,web-prod-01.example.test,/user/profile,POST,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-267f318d0fad,False,metadata,,
SRHINO-20260828-00025,2026-08-28T12:54:03+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,198.51.100.21,web-prod-01,web-prod-01.example.test,/api/search,GET,challenge,人机校验,未通过,challenged,429,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-2f7abae8ba20,False,metadata,,
SRHINO-20260828-00026,2026-08-28T11:27:45+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,api-prod-01,api-prod-01.example.test,/wp-admin,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T11:27:45+08:00,1,SCANNER-980130,req-dbf77aa8bf1d,False,metadata,,
SRHINO-20260828-00027,2026-08-28T11:51:12+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,198.51.100.21,oa-prod-01,oa-prod-01.example.test,/user/profile,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-2361c1881bfc,False,metadata,,
SRHINO-20260828-00028,2026-08-28T22:32:32+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,oa-prod-01,oa-prod-01.example.test,/user/profile,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,OA系统责任单位,2026-08-28T22:32:32+08:00,1,XSS-941100,req-948bc684430b,False,metadata,,
SRHINO-20260828-00029,2026-08-28T22:18:38+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,198.51.100.20,api-prod-01,api-prod-01.example.test,/comment/submit,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-d545045506a9,False,metadata,,
SRHINO-20260828-00030,2026-08-28T22:14:08+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,oa-prod-01,oa-prod-01.example.test,/comment/submit,POST,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-a7e53b8b7f2f,False,metadata,,
SRHINO-20260828-00031,2026-08-28T23:38:49+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,web-prod-01,web-prod-01.example.test,/actuator/env,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T23:38:49+08:00,1,SCANNER-980130,req-e7e936c8e1da,False,metadata,,
SRHINO-20260828-00032,2026-08-28T22:01:43+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,192.0.2.50,oa-prod-01,oa-prod-01.example.test,/actuator/env,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,OA系统责任单位,2026-08-28T22:01:43+08:00,1,SCANNER-980130,req-2414ddf7f00d,False,metadata,,
SRHINO-20260828-00033,2026-08-28T18:59:58+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,198.51.100.20,oa-prod-01,oa-prod-01.example.test,/actuator/env,POST,allow,放行观察,不适用,allowed,200,已完成观察,已闭环,False,未下发,,,1,SCANNER-980130,req-f48489383bf1,False,metadata,,
SRHINO-20260828-00034,2026-08-28T11:46:08+08:00,Srhino安全运营平台演示设备,security_alert,敏感数据暴露检测,data-exposure,high,203.0.113.11,api-prod-01,api-prod-01.example.test,/api/order/detail,GET,allow,放行观察,不适用,allowed,200,已下发风险预警,已闭环,True,已下发,API平台主管单位,2026-08-28T11:46:08+08:00,1,API-EXPOSE-001,req-9b5ac9f53f5a,False,metadata,,
SRHINO-20260828-00035,2026-08-28T11:51:00+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,198.51.100.21,api-prod-01,api-prod-01.example.test,/api/order,POST,challenge,人机校验,未通过,challenged,429,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-4b3f2f3832e6,False,metadata,,
SRHINO-20260828-00036,2026-08-28T09:25:43+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,192.0.2.50,api-prod-01,api-prod-01.example.test,/wp-admin,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T09:25:43+08:00,1,SCANNER-980130,req-b87b1c971b2d,False,metadata,,
SRHINO-20260828-00037,2026-08-28T10:38:09+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,oa-prod-01,oa-prod-01.example.test,/.env,GET,allow,放行观察,不适用,allowed,200,已完成观察,已闭环,False,未下发,,,1,SCANNER-980130,req-af718ffe9ee8,False,metadata,,
SRHINO-20260828-00038,2026-08-28T11:28:03+08:00,Srhino安全运营平台演示设备,security_alert,路径穿越攻击,path-traversal,high,203.0.113.10,api-prod-01,api-prod-01.example.test,/static,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T11:28:03+08:00,1,LFI-930110,req-8f058111dd07,False,metadata,,
SRHINO-20260828-00039,2026-08-28T22:30:35+08:00,Srhino安全运营平台演示设备,security_alert,路径穿越攻击,path-traversal,high,198.51.100.20,web-prod-02,web-prod-02.example.test,/download,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T22:30:35+08:00,1,LFI-930110,req-8702853b58a9,False,metadata,,
SRHINO-20260828-00040,2026-08-28T07:37:11+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,api-prod-01,api-prod-01.example.test,/search,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-220ddc292125,False,metadata,,
SRHINO-20260828-00041,2026-08-28T14:21:48+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,203.0.113.10,oa-prod-01,oa-prod-01.example.test,/api/order,POST,challenge,人机校验,未通过,challenged,429,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-3a2028a5ed7d,False,metadata,,
SRHINO-20260828-00042,2026-08-28T18:25:54+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,198.51.100.20,api-prod-02,api-prod-02.example.test,/.env,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T18:25:54+08:00,1,SCANNER-980130,req-347fcc58aeb4,False,metadata,,
SRHINO-20260828-00043,2026-08-28T10:25:58+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.11,web-prod-01,web-prod-01.example.test,/search,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T10:25:58+08:00,1,XSS-941100,req-c745418646ad,False,metadata,,
SRHINO-20260828-00044,2026-08-28T18:36:27+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,198.51.100.21,web-prod-01,web-prod-01.example.test,/wp-admin,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T18:36:27+08:00,1,SCANNER-980130,req-9923b22d2510,False,metadata,,
SRHINO-20260828-00045,2026-08-28T12:57:37+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,api-prod-01,api-prod-01.example.test,/wp-admin,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T12:57:37+08:00,1,SCANNER-980130,req-579d82696732,False,metadata,,
SRHINO-20260828-00046,2026-08-28T09:24:25+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,web-prod-02,web-prod-02.example.test,/comment/submit,POST,challenge,人机校验,通过,challenged,403,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-0252ba5cc20d,False,metadata,,
SRHINO-20260828-00047,2026-08-28T08:20:17+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,oa-prod-01,oa-prod-01.example.test,/.env,POST,allow,放行观察,不适用,allowed,200,已完成观察,已闭环,False,未下发,,,1,SCANNER-980130,req-0b1c905396eb,False,metadata,,
SRHINO-20260828-00048,2026-08-28T11:51:52+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.11,web-prod-01,web-prod-01.example.test,/comment/submit,GET,challenge,人机校验,通过,challenged,403,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-23e0cf5a5abb,False,metadata,,
SRHINO-20260828-00049,2026-08-28T22:28:01+08:00,Srhino安全运营平台演示设备,security_alert,路径穿越攻击,path-traversal,high,203.0.113.10,web-prod-02,web-prod-02.example.test,/api/file,GET,challenge,人机校验,未通过,challenged,403,已下发风险预警,已闭环,True,已下发,Web应用责任单位,2026-08-28T22:28:01+08:00,1,LFI-930110,req-d1ac1af54f84,False,metadata,,
SRHINO-20260828-00050,2026-08-28T11:47:36+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,203.0.113.10,web-prod-01,web-prod-01.example.test,/api/search,POST,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-c15df4bc973d,False,metadata,,
SRHINO-20260828-00051,2026-08-28T00:10:23+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,198.51.100.20,api-prod-01,api-prod-01.example.test,/api/message,GET,challenge,人机校验,未通过,challenged,429,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-8f8bb5487035,False,metadata,,
SRHINO-20260828-00052,2026-08-28T11:31:27+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,api-prod-02,api-prod-02.example.test,/wp-admin,GET,allow,放行观察,不适用,allowed,200,已完成观察,已闭环,False,未下发,,,1,SCANNER-980130,req-11ebeb0db8ee,False,metadata,,
SRHINO-20260828-00053,2026-08-28T10:52:05+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,192.0.2.51,web-prod-02,web-prod-02.example.test,/api/message,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-e12963068e15,False,metadata,,
SRHINO-20260828-00054,2026-08-28T11:15:31+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,192.0.2.50,web-prod-02,web-prod-02.example.test,/actuator/env,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T11:15:31+08:00,1,SCANNER-980130,req-9a88ac0c8de5,False,metadata,,
SRHINO-20260828-00055,2026-08-28T23:29:21+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,198.51.100.21,web-prod-01,web-prod-01.example.test,/wp-admin,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T23:29:21+08:00,1,SCANNER-980130,req-42bfa9f4b43a,False,metadata,,
SRHINO-20260828-00056,2026-08-28T12:01:40+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,203.0.113.10,web-prod-01,web-prod-01.example.test,/api/order,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-703455c1610f,False,metadata,,
SRHINO-20260828-00057,2026-08-28T07:13:49+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,api-prod-01,api-prod-01.example.test,/search,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-7ff3c1d1accd,False,metadata,,
SRHINO-20260828-00058,2026-08-28T22:14:36+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,198.51.100.20,oa-prod-01,oa-prod-01.example.test,/api/search,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-824fb0b90db9,False,metadata,,
SRHINO-20260828-00059,2026-08-28T09:47:00+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,198.51.100.20,web-prod-02,web-prod-02.example.test,/.env,POST,allow,放行观察,不适用,allowed,200,已完成观察,已闭环,False,未下发,,,1,SCANNER-980130,req-5baf5cbf0574,False,metadata,,
SRHINO-20260828-00060,2026-08-28T11:08:31+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.11,web-prod-01,web-prod-01.example.test,/actuator/env,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T11:08:31+08:00,1,SCANNER-980130,req-809bceb0c956,False,metadata,,
SRHINO-20260828-00061,2026-08-28T12:00:13+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,198.51.100.20,web-prod-01,web-prod-01.example.test,/user/profile,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T12:00:13+08:00,1,XSS-941100,req-2246ad9768da,False,metadata,,
SRHINO-20260828-00062,2026-08-28T22:38:17+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,198.51.100.21,web-prod-02,web-prod-02.example.test,/api/search,POST,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-b14d0b64f2c6,False,metadata,,
SRHINO-20260828-00063,2026-08-28T10:12:43+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,oa-prod-01,oa-prod-01.example.test,/search,POST,challenge,人机校验,未通过,challenged,403,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-67b9c9bf5763,False,metadata,,
SRHINO-20260828-00064,2026-08-28T22:04:48+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.10,api-prod-01,api-prod-01.example.test,/actuator/env,POST,allow,放行观察,不适用,allowed,200,已完成观察,已闭环,False,未下发,,,1,SCANNER-980130,req-571294f2a837,False,metadata,,
SRHINO-20260828-00065,2026-08-28T23:49:46+08:00,Srhino安全运营平台演示设备,security_alert,敏感数据暴露检测,data-exposure,high,203.0.113.11,oa-prod-01,oa-prod-01.example.test,/api/report,GET,allow,放行观察,不适用,allowed,200,已下发风险预警,已闭环,True,已下发,OA系统责任单位,2026-08-28T23:49:46+08:00,1,API-EXPOSE-001,req-999721307a1c,False,metadata,,
SRHINO-20260828-00066,2026-08-28T22:16:38+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,198.51.100.20,web-prod-02,web-prod-02.example.test,/.env,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T22:16:38+08:00,1,SCANNER-980130,req-52b0a5603a2a,False,metadata,,
SRHINO-20260828-00067,2026-08-28T10:10:17+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,192.0.2.51,api-prod-01,api-prod-01.example.test,/actuator/env,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T10:10:17+08:00,1,SCANNER-980130,req-f522574ef467,False,metadata,,
SRHINO-20260828-00068,2026-08-28T12:54:47+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,192.0.2.50,web-prod-02,web-prod-02.example.test,/actuator/env,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T12:54:47+08:00,1,SCANNER-980130,req-11367403c5ad,False,metadata,,
SRHINO-20260828-00069,2026-08-28T11:50:50+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,198.51.100.21,web-prod-02,web-prod-02.example.test,/api/message,POST,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-88204bca22ef,False,metadata,,
SRHINO-20260828-00070,2026-08-28T22:50:13+08:00,Srhino安全运营平台演示设备,security_alert,敏感数据暴露检测,data-exposure,high,203.0.113.10,api-prod-02,api-prod-02.example.test,/api/report,POST,allow,放行观察,不适用,allowed,200,已下发风险预警,已闭环,True,已下发,API平台主管单位,2026-08-28T22:50:13+08:00,1,API-EXPOSE-001,req-44ebed1badbc,False,metadata,,
SRHINO-20260828-00071,2026-08-28T12:38:01+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,203.0.113.10,web-prod-01,web-prod-01.example.test,/api/order,POST,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-062068076dee,False,metadata,,
SRHINO-20260828-00072,2026-08-28T14:04:49+08:00,Srhino安全运营平台演示设备,security_alert,API异常频率,api-abuse,medium,203.0.113.11,web-prod-02,web-prod-02.example.test,/api/order,POST,challenge,人机校验,通过,challenged,429,待人工复核,待复核,False,未下发,,,1,API-RATE-001,req-0da4f37e1492,False,metadata,,
